subgroup,n,actual_no_show_rate,avg_predicted_risk,calibration_gap,high_risk_assignment_rate,precision,recall,false_positive_rate,false_negative_rate,recall_gap_vs_overall,precision_gap_vs_overall,flag_recall_gap,flag_calibration
31-50 (adult),2385,0.1983,0.2057,0.0074,0.2,0.318,0.5708,0.3028,0.4292,-0.0427,-0.0136,False,False
18-30 (young adult),1463,0.2563,0.2791,0.0228,0.3787,0.3372,0.784,0.5312,0.216,0.1705,0.0056,True,False
51-64 (older adult),1034,0.1248,0.144,0.0192,0.1006,0.2768,0.3798,0.1414,0.6202,-0.2337,-0.0548,True,False
65+ (senior),1028,0.1109,0.097,-0.0139,0.037,0.3623,0.2193,0.0481,0.7807,-0.3942,0.0307,True,False
13-17 (adolescent),317,0.2681,0.3102,0.0421,0.4479,0.3349,0.8353,0.6078,0.1647,0.2218,0.0033,True,False
0-12 (child),173,0.3815,0.3324,-0.0491,0.4798,0.4454,0.803,0.6168,0.197,0.1895,0.1138,True,False
