subgroup,n,actual_no_show_rate,avg_predicted_risk,calibration_gap,high_risk_assignment_rate,precision,recall,false_positive_rate,false_negative_rate,recall_gap_vs_overall,precision_gap_vs_overall,flag_recall_gap,flag_calibration
2,2680,0.1918,0.2082,0.0164,0.2205,0.313,0.6089,0.3172,0.3911,-0.0046,-0.0186,False,False
1,1796,0.1832,0.1964,0.0132,0.2004,0.3203,0.5988,0.2849,0.4012,-0.0147,-0.0113,False,False
3,642,0.1121,0.122,0.0099,0.0763,0.3333,0.3611,0.0912,0.6389,-0.2524,0.0017,True,False
5,545,0.2734,0.2622,-0.0112,0.3431,0.3684,0.7047,0.4545,0.2953,0.0912,0.0368,True,False
6,431,0.1624,0.1727,0.0103,0.1647,0.2845,0.4714,0.2299,0.5286,-0.1421,-0.0471,True,False
4,306,0.3529,0.3171,-0.0359,0.4575,0.4314,0.8148,0.5859,0.1852,0.2013,0.0998,True,False
